GenTrk, Raggio, Eff, Eff_real, fake_reco_trk, GenTrk, RecoTrk, RecoReal, RealTime, CPUTime, eff3hit, eff2hit, fake3, fake2
10,0.4,0.987881,0.982481,0.005400,8.334000,8.233000,8.188000,0.002345,0.002360,0.777418,0.205064,0.002280,0.003120
10,0.4,0.987761,0.983081,0.004680,8.334000,8.232000,8.193000,0.002166,0.002080,0.780898,0.202184,0.000840,0.003840
10,0.4,0.987783,0.982702,0.005080,8.267000,8.166000,8.124000,0.001972,0.001960,0.767146,0.215556,0.001693,0.003387
10,0.4,0.989258,0.984043,0.005215,8.322600,8.233200,8.189800,0.002039,0.002044,0.778639,0.205405,0.001886,0.003328
10,0.4,0.990038,0.984763,0.005275,8.321700,8.238800,8.194900,0.002004,0.002019,0.779516,0.205247,0.002211,0.003064
10,0.4,0.990102,0.984130,0.005972,8.304800,8.222600,8.173000,0.001992,0.001995,0.777394,0.206736,0.002493,0.003480
10,0.4,0.989529,0.983916,0.005614,8.318600,8.231500,8.184800,0.002010,0.002017,0.778713,0.205203,0.002188,0.003426
10,0.4,0.990716,0.985360,0.005356,8.326400,8.249100,8.204500,0.001968,0.001966,0.779725,0.205635,0.002102,0.003255
10,0.4,0.989336,0.984016,0.005320,8.308500,8.219900,8.175700,0.002410,0.002394,0.777421,0.206596,0.001769,0.003551
10,0.4,0.989926,0.984448,0.005478,8.288300,8.204800,8.159400,0.003020,0.002999,0.780739,0.203709,0.002160,0.003318
10,0.4,0.990057,0.984744,0.005313,8.337500,8.254600,8.210300,0.001957,0.001981,0.779574,0.205169,0.002303,0.003010
10,0.4,0.990290,0.984618,0.005672,8.321600,8.240800,8.193600,0.002018,0.001973,0.779562,0.205057,0.002379,0.003293
10,0.4,0.989831,0.984218,0.005613,8.319700,8.235100,8.188400,0.002011,0.002048,0.779595,0.204623,0.002236,0.003378
10,0.4,0.990242,0.984761,0.005481,8.301100,8.220100,8.174600,0.002095,0.002046,0.779463,0.205298,0.001952,0.003530
10,0.4,0.990875,0.985212,0.005663,8.317700,8.241800,8.194700,0.002745,0.002733,0.778160,0.207052,0.002405,0.003258
10,0.4,0.990029,0.984652,0.005377,8.313900,8.231000,8.186300,0.002554,0.002562,0.779069,0.205583,0.002189,0.003187
10,0.4,0.989926,0.984661,0.005265,8.318600,8.234800,8.191000,0.001939,0.001912,0.780095,0.204566,0.001984,0.003282
10,0.4,0.989413,0.984096,0.005317,8.312400,8.224400,8.180200,0.001906,0.001911,0.777826,0.206270,0.001829,0.003489
10,0.4,0.989203,0.984046,0.005158,8.317500,8.227700,8.184800,0.001907,0.001941,0.778912,0.205134,0.001936,0.003222
10,0.4,0.989539,0.984290,0.005249,8.326100,8.239000,8.195300,0.002114,0.002121,0.778864,0.205426,0.002090,0.003159
10,0.4,0.990242,0.984522,0.005720,8.321500,8.240300,8.192700,0.001936,0.001929,0.781374,0.203148,0.002355,0.003365
10,0.4,0.989456,0.983637,0.005819,8.317500,8.229800,8.181400,0.001893,0.001876,0.778034,0.205603,0.002008,0.003811
